epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.894197940826416,0.2651951014995575,0.9149616360664368,0.9445544481277466,0.9430524110794067,0.14737308025360107,0.9434250593185425,0.9793650507926941
1,0.9456362724304199,0.15402738749980927,0.9624382257461548,0.9640263915061951,0.9601366519927979,0.11406263709068298,0.9598145484924316,0.9857142567634583
2,0.9553875923156738,0.12855960428714752,0.9665683507919312,0.9732673168182373,0.9646924734115601,0.10055587440729141,0.9761525988578796,0.9746031761169434
3,0.9517308473587036,0.12530697882175446,0.9636542201042175,0.9712871313095093,0.9635535478591919,0.09647274762392044,0.9731012582778931,0.976190447807312
4,0.9563627243041992,0.11674228310585022,0.9693776965141296,0.9716171622276306,0.9703872203826904,0.08981557935476303,0.9733542203903198,0.9857142567634583
5,0.9563627243041992,0.12244407087564468,0.9699966907501221,0.9709571003913879,0.9510250687599182,0.1401510089635849,0.9361069798469543,1.0
6,0.9639200568199158,0.10314197838306427,0.9721494317054749,0.9792079329490662,0.9533029794692993,0.1296880841255188,0.9388971924781799,1.0
7,0.9617260098457336,0.09965026378631592,0.9723774790763855,0.975907564163208,0.9601366519927979,0.1006990522146225,0.985318124294281,0.958730161190033
8,0.9634324908256531,0.09745429456233978,0.973061740398407,0.9775577783584595,0.9533029794692993,0.11851152777671814,0.9428571462631226,0.9952380657196045
9,0.9651389718055725,0.09410125762224197,0.9756177663803101,0.9772277474403381,0.9487471580505371,0.15438717603683472,0.9333333373069763,1.0
10,0.9641638398170471,0.0918021947145462,0.9724680185317993,0.9792079329490662,0.9646924734115601,0.08054057508707047,0.9701727032661438,0.9809523820877075
11,0.9670892357826233,0.0875609740614891,0.9778804779052734,0.9775577783584595,0.965831458568573,0.08157219737768173,0.9702194333076477,0.9825396537780762
12,0.9670892357826233,0.08798796683549881,0.9741238355636597,0.9815181493759155,0.9703872203826904,0.08841510862112045,0.9824281334877014,0.976190447807312
13,0.9685519337654114,0.08537164330482483,0.975729763507843,0.9818481802940369,0.946469247341156,0.16270358860492706,0.9305760860443115,1.0
14,0.9705021977424622,0.07741033285856247,0.9767289161682129,0.9834983348846436,0.9681093096733093,0.08306790143251419,0.9808306694030762,0.9746031761169434
