epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.8113115429878235,0.4611261487007141,0.839554488658905,0.9204620718955994,0.9202733635902405,0.18091842532157898,0.962046205997467,0.9253968000411987
1,0.9353973865509033,0.1757621020078659,0.9528332948684692,0.960066020488739,0.9384965896606445,0.1693321168422699,0.9285714030265808,0.9904761910438538
2,0.9492930173873901,0.1356443613767624,0.9632304906845093,0.9683168530464172,0.9533029794692993,0.1218036338686943,0.9551777243614197,0.9809523820877075
3,0.8235007524490356,4.789416313171387,0.8697883486747742,0.895049512386322,0.7175398468971252,0.682064950466156,0.7175398468971252,1.0
4,0.7386640906333923,0.6635225415229797,0.7386640906333923,1.0,0.7175398468971252,0.6526258587837219,0.7175398468971252,1.0
5,0.7386640906333923,0.6365646719932556,0.7386640906333923,1.0,0.7175398468971252,0.6335858702659607,0.7175398468971252,1.0
6,0.7386640906333923,0.6185227632522583,0.7386640906333923,1.0,0.7175398468971252,0.6207842230796814,0.7175398468971252,1.0
7,0.7386640906333923,0.6058101058006287,0.7386640906333923,1.0,0.7175398468971252,0.6120274066925049,0.7175398468971252,1.0
8,0.7386640906333923,0.5966435074806213,0.7386640906333923,1.0,0.7175398468971252,0.6058809161186218,0.7175398468971252,1.0
9,0.7386640906333923,0.5899761915206909,0.7386640906333923,1.0,0.7175398468971252,0.6018452048301697,0.7175398468971252,1.0
10,0.7386640906333923,0.5852574706077576,0.7386640906333923,1.0,0.7175398468971252,0.5989665389060974,0.7175398468971252,1.0
11,0.7386640906333923,0.581770122051239,0.7386640906333923,1.0,0.7175398468971252,0.5972838401794434,0.7175398468971252,1.0
12,0.7386640906333923,0.5794745087623596,0.7386640906333923,1.0,0.7175398468971252,0.5962086319923401,0.7175398468971252,1.0
13,0.7386640906333923,0.5778180360794067,0.7386640906333923,1.0,0.7175398468971252,0.5956048965454102,0.7175398468971252,1.0
14,0.7386640906333923,0.5766522884368896,0.7386640906333923,1.0,0.7175398468971252,0.5953302383422852,0.7175398468971252,1.0
