epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.5555826425552368,0.16156363487243652,0.6149068474769592,0.48269137740135193,0.7562642097473145,0.11828505247831345,0.7672514915466309,0.7471526265144348
1,0.7528035044670105,0.1109251156449318,0.7657794952392578,0.7364700436592102,0.7687926888465881,0.10861697793006897,0.7777777910232544,0.7494305372238159
2,0.7810823917388916,0.09722011536359787,0.7902097702026367,0.7713310718536377,0.7813211679458618,0.10193353146314621,0.7841561436653137,0.7779043316841125
3,0.7937591671943665,0.09118416905403137,0.7995534539222717,0.7857142686843872,0.7961275577545166,0.08924320340156555,0.8060747385025024,0.785876989364624
4,0.8110677599906921,0.08341214805841446,0.8164979219436646,0.8059483170509338,0.8029612898826599,0.09062877297401428,0.8102444410324097,0.7927107214927673
5,0.8295953273773193,0.07529018819332123,0.8328821063041687,0.8249634504318237,0.787015974521637,0.0911186933517456,0.7942196726799011,0.7824601531028748
6,0.8527547717094421,0.06672979146242142,0.8558425307273865,0.8481228947639465,0.805239200592041,0.09821922332048416,0.8107798099517822,0.805239200592041
7,0.8642125725746155,0.060164377093315125,0.8659818768501282,0.8632374405860901,0.7927107214927673,0.09738782048225403,0.7947247624397278,0.7892938256263733
8,0.8973671197891235,0.04737042635679245,0.8978993892669678,0.8961482048034668,0.7767653465270996,0.11914879828691483,0.7785388231277466,0.7767653465270996
9,0.925889790058136,0.03594183176755905,0.92626953125,0.9249146580696106,0.7824601531028748,0.13744884729385376,0.784246563911438,0.7824601531028748
10,0.95831298828125,0.02278863824903965,0.9585264921188354,0.9578254222869873,0.7801822423934937,0.1671062707901001,0.7801822423934937,0.7801822423934937
11,0.9814724326133728,0.010657226666808128,0.9814724326133728,0.9814724326133728,0.7653758525848389,0.21335019171237946,0.7653758525848389,0.7653758525848389
12,0.9729400277137756,0.020290467888116837,0.9731772541999817,0.9729400277137756,0.7448747158050537,0.3190042972564697,0.745724081993103,0.7448747158050537
13,0.5726475119590759,1.971441626548767,0.7328560948371887,0.4741589426994324,0.2744874656200409,0.20567981898784637,1.0,0.017084281891584396
14,0.3478790819644928,0.19331157207489014,0.9516907930374146,0.09605070948600769,0.2813211977481842,0.19857564568519592,1.0,0.023917995393276215
