epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.6601657867431641,0.1505976915359497,0.7097753286361694,0.5699658989906311,0.7425968050956726,0.12598490715026855,0.778761088848114,0.7015945315361023
1,0.7691370248794556,0.10916851460933685,0.783098578453064,0.7454900145530701,0.7927107214927673,0.09955425560474396,0.8033175468444824,0.7722095847129822
2,0.7930278182029724,0.09888868033885956,0.8032249808311462,0.77718186378479,0.7972665429115295,0.09185875952243805,0.8041715025901794,0.7904328107833862
3,0.8022915720939636,0.0941699668765068,0.8115615844726562,0.7905899286270142,0.8143507838249207,0.08697113394737244,0.8189157843589783,0.8086560368537903
4,0.8164309859275818,0.08685248345136642,0.8242031931877136,0.8069234490394592,0.8132118582725525,0.08599492907524109,0.8187066912651062,0.8075171113014221
5,0.828620195388794,0.08260773867368698,0.8339921236038208,0.823013186454773,0.8246013522148132,0.08434796333312988,0.8287356495857239,0.821184515953064
6,0.8259385824203491,0.08009561151266098,0.8320515751838684,0.8176499009132385,0.8120728731155396,0.08102251589298248,0.8183907866477966,0.8109339475631714
7,0.841296911239624,0.07464844733476639,0.8463438749313354,0.8352023363113403,0.8337129950523376,0.07984737306833267,0.8385236263275146,0.8280182480812073
8,0.8432471752166748,0.0727924183011055,0.8486193418502808,0.8391028642654419,0.8223234415054321,0.08205518871545792,0.8287356495857239,0.821184515953064
9,0.8510482907295227,0.07000888139009476,0.8560867309570312,0.846903920173645,0.8223234415054321,0.07966969162225723,0.8233944773674011,0.8177676796913147
10,0.8549488186836243,0.06687320023775101,0.8575288653373718,0.8510482907295227,0.8348519206047058,0.07749686390161514,0.838302731513977,0.8325740098953247
11,0.8671379685401917,0.0641317367553711,0.8698428273200989,0.8634812235832214,0.821184515953064,0.0795123502612114,0.8245412707328796,0.8189066052436829
12,0.8803023099899292,0.05874926224350929,0.8830754160881042,0.8764017820358276,0.8246013522148132,0.07989007234573364,0.8272311091423035,0.8234624266624451
13,0.8842028379440308,0.05481836944818497,0.8868201971054077,0.8824963569641113,0.8337129950523376,0.08000475913286209,0.8352402448654175,0.8314350843429565
14,0.8832277059555054,0.05483628436923027,0.885049045085907,0.8803023099899292,0.8280182480812073,0.08395955711603165,0.8280182480812073,0.8280182480812073
15,0.9007800817489624,0.049426984041929245,0.9040255546569824,0.8978546857833862,0.8154897689819336,0.08288662135601044,0.817241370677948,0.8097949624061584
16,0.9054120182991028,0.04589976742863655,0.9080206155776978,0.9024865627288818,0.8280182480812073,0.08272679895162582,0.8327605724334717,0.8280182480812073
17,0.9068747162818909,0.04400208592414856,0.9087796807289124,0.9058995842933655,0.8166286945343018,0.08737761527299881,0.8182857036590576,0.8154897689819336
18,0.9144319891929626,0.041056640446186066,0.9163200259208679,0.9129692912101746,0.8291571736335754,0.08724245429039001,0.8308571577072144,0.8280182480812073
19,0.9246708750724792,0.03783418983221054,0.9254643321037292,0.9232081770896912,0.8280182480812073,0.08789508789777756,0.8281787037849426,0.8234624266624451
20,0.9392979145050049,0.033548906445503235,0.9410325288772583,0.9375914335250854,0.8234624266624451,0.09177833795547485,0.8249427676200867,0.821184515953064
